,open_dt,close_dt,symbol,amount,buy,sell,long,pnl,rt_returns,duration,returns
0,2022-01-03 09:16:00+05:30,2022-01-03 09:21:00+05:30,NIFTY20220127FUT,50.0,17510.4,17461.5,False,-2445.0000000000728,-0.002792626096491311,0 days 00:05:00,-0.005015256019076583
1,2022-01-03 09:21:00+05:30,2022-01-03 09:26:00+05:30,BANKNIFTY20220224FUT,25.0,35960.4,35846.8,True,-2839.9999999999636,-0.003159030489093518,0 days 00:05:00,-0.005825491654060077
2,2022-01-03 09:21:00+05:30,2022-01-03 11:11:00+05:30,NIFTY20220127FUT,50.0,17510.4,17552.05,True,2082.499999999891,0.0023785864400583546,0 days 01:50:00,0.004271685341401279
3,2022-01-03 09:31:00+05:30,2022-01-03 11:16:00+05:30,BANKNIFTY20220224FUT,25.0,35885.7,36236.65,True,8773.75000000011,0.009779661536489587,0 days 01:45:00,0.017996974436553133
4,2022-01-03 11:16:00+05:30,2022-01-03 11:21:00+05:30,NIFTY20220127FUT,50.0,17567.05,17567.9,True,42.50000000010914,4.838604091194496e-05,0 days 00:05:00,8.717725186556066e-05
5,2022-01-03 12:13:00+05:30,2022-01-03 12:47:00+05:30,BANKNIFTY20220224FUT,75.0,36299.25,36400.03,True,7558.499999999913,0.0027763659028767493,0 days 00:34:00,0.015504217840568012
6,2022-01-03 12:48:00+05:30,2022-01-03 14:21:00+05:30,BANKNIFTY20220224FUT,100.0,36587.07,36449.84,False,-13723.00000000032,-0.003750778622065205,0 days 01:33:00,-0.02814902181995399
7,2022-01-03 14:16:00+05:30,2022-01-03 14:51:00+05:30,NIFTY20220127FUT,50.0,17665.0,17663.05,True,-97.50000000003638,-0.00011038777243140264,0 days 00:35:00,-0.00019999487192643548
8,2022-01-03 14:25:00+05:30,2022-01-03 14:58:00+05:30,BANKNIFTY20220224FUT,75.0,36669.55,36674.47,True,368.99999999986903,0.0001341712674411945,0 days 00:33:00,0.0007569036691364202
9,2022-01-03 15:15:00+05:30,2022-01-03 15:16:00+05:30,BANKNIFTY20220224FUT,25.0,36706.95,36709.35,False,60.00000000003638,6.538271362784038e-05,0 days 00:01:00,0.00012307376733937362
10,2022-01-04 09:21:00+05:30,2022-01-04 09:36:00+05:30,NIFTY20220127FUT,50.0,17713.8,17712.25,True,-77.49999999996362,-8.750239925929345e-05,0 days 00:15:00,-0.00015905347788379578
11,2022-01-04 09:16:00+05:30,2022-01-04 09:41:00+05:30,BANKNIFTY20220224FUT,25.0,36755.2,36670.4,True,-2119.999999999891,-0.0023071565383944487,0 days 00:25:00,-0.0043508822337262965
12,2022-01-04 10:01:00+05:30,2022-01-04 10:26:00+05:30,NIFTY20220127FUT,50.0,17738.8,17746.5,True,385.0000000000364,0.00043407671319371815,0 days 00:25:00,0.0007901366320683343
13,2022-01-04 10:36:00+05:30,2022-01-04 10:41:00+05:30,NIFTY20220127FUT,50.0,17765.0,17751.15,True,-692.4999999999272,-0.0007796228539261776,0 days 00:05:00,-0.0014212197862524993
14,2022-01-04 09:52:00+05:30,2022-01-04 10:49:00+05:30,BANKNIFTY20220224FUT,25.0,36940.0,37030.0,True,2250.0,0.0024363833243096914,0 days 00:57:00,0.004617681615983335
15,2022-01-04 11:26:00+05:30,2022-01-04 11:31:00+05:30,NIFTY20220127FUT,50.0,17723.35,17720.0,False,-167.49999999992724,-0.000189016184863389,0 days 00:05:00,-0.0003437607425230545
16,2022-01-04 13:21:00+05:30,2022-01-04 13:26:00+05:30,NIFTY20220127FUT,50.0,17758.2,17742.9,False,-764.9999999999636,-0.0008615738081561911,0 days 00:05:00,-0.0015700117494342593
17,2022-01-04 13:41:00+05:30,2022-01-04 13:46:00+05:30,NIFTY20220127FUT,50.0,17719.1,17743.6,False,1225.0,0.0013826887370126024,0 days 00:05:00,0.0025140711020353716
18,2022-01-04 13:51:00+05:30,2022-01-04 14:06:00+05:30,NIFTY20220127FUT,50.0,17762.4,17734.5,False,-1395.0000000000728,-0.001570733684637293,0 days 00:15:00,-0.0028629626019098173
19,2022-01-04 13:21:00+05:30,2022-01-04 14:41:00+05:30,BANKNIFTY20220224FUT,100.0,37020.91,36868.09,False,-15282.000000000698,-0.004127937427794373,0 days 01:20:00,-0.03136329353576025
20,2022-01-04 14:45:00+05:30,2022-01-04 15:29:00+05:30,BANKNIFTY20220224FUT,100.0,37118.47,37136.22,True,1775.0,0.00047819858954315734,0 days 00:44:00,0.003642837719275742
21,2022-01-04 14:41:00+05:30,2022-01-05 09:36:00+05:30,NIFTY20220127FUT,50.0,17805.3,17812.0,True,335.0000000000364,0.0003762924522474054,0 days 18:55:00,0.0006875214850464823
22,2022-01-05 09:56:00+05:30,2022-01-05 10:26:00+05:30,NIFTY20220127FUT,50.0,17848.8,17864.1,True,764.9999999999636,0.0008572004840661149,0 days 00:30:00,0.0015581717451522805
23,2022-01-05 12:36:00+05:30,2022-01-05 13:51:00+05:30,NIFTY20220127FUT,50.0,17930.05,17959.3,True,1462.5,0.0016313395668166011,0 days 01:15:00,0.0029788577480853837
