date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-01-03 00:00:00+05:30,499780.0000,499780.0000,0.0000,0.0000,500000.0000,0.0000,0.0000,-220.0000,-220.0000,499780.0000,0.0000,0.0000,-220.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0004,-0.0004,0.0063,-0.0004,,,500000.0000,0.0000,,
2022-01-04 00:00:00+05:30,487512.5000,395632.2500,0.0000,0.0000,500000.0000,89282.7500,2597.5000,-15085.0000,-12487.5000,487512.5000,0.0000,0.0000,-12267.5000,1.8300,1.8300,892862.5000,892862.5000,892862.5000,0.0000,1,0,-0.0245,-0.0250,0.2750,-0.0245,,,504876.5689,0.0098,,
2022-01-05 00:00:00+05:30,487257.5000,487257.5000,0.0000,0.0000,500000.0000,0.0000,0.0000,-12742.5000,-12742.5000,487257.5000,0.0000,0.0000,-255.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,-0.0005,-0.0255,0.2246,-0.0251,,,507721.7067,0.0056,,
2022-01-06 00:00:00+05:30,490960.0000,490960.0000,0.0000,0.0000,500000.0000,0.0000,0.0000,-9040.0000,-9040.0000,490960.0000,0.0000,0.0000,3702.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0076,-0.0181,0.2036,-0.0176,,,503137.1648,-0.0090,,
2022-01-07 00:00:00+05:30,493410.0000,493410.0000,0.0000,0.0000,500000.0000,0.0000,0.0000,-6590.0000,-6590.0000,493410.0000,0.0000,0.0000,2450.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0.0050,-0.0132,0.1855,-0.0127,,,505184.1897,0.0041,,
2022-01-10 00:00:00+05:30,495347.5000,404087.5000,0.0000,0.0000,500000.0000,90280.0000,980.0000,-5632.5000,-4652.5000,495347.5000,0.0000,0.0000,1937.5000,1.8200,1.8200,902747.5000,902747.5000,902747.5000,0.0000,1,0,0.0039,-0.0093,0.1712,-0.0089,,,510493.1289,0.0105,,
